"from","to","name","edge_id","weight","length","width","Volume","type","e_distance","in_mst","color"
46,61,"015_Wc_2",1073,2.46383213996887,135.260360717773,14.8186864852905,23328.125,"Main",126.557578009993,TRUE,"#B7318A"
47,85,"015_Wc_2",20,11.8255939483643,291.040832519531,9.92191410064697,22502.70703125,"Main",254.49164848567,TRUE,"#8B0AA5"
48,60,"015_Wc_2",1074,20.2335662841797,165.735366821289,5.72402286529541,4264.8896484375,"Main",149.753902513242,TRUE,"#5C01A5"
48,65,"015_Wc_2",26,22.7082824707031,113.971710205078,4.4806022644043,1797.04821777344,"Main",102.277315147733,TRUE,"#4E02A2"
50,53,"015_Wc_2",1075,0.271736800670624,7.33128309249878,10.3883304595947,621.385925292969,"Main",7.33128309249878,TRUE,"#8F0DA4"
50,59,"015_Wc_2",1076,37.4359283447266,134.447189331055,3.79019498825073,1516.92712402344,"Main",124.226864245974,FALSE,"#46039F"
51,54,"015_Wc_2",1077,0.365632861852646,8.84964179992676,9.8394365310669,672.908569335938,"Main",8.19662399616823,TRUE,"#8A09A5"
52,57,"015_Wc_2",1078,12.2229642868042,90.1989822387695,5.43303537368774,2091.10864257812,"Main",80.0168594602232,TRUE,"#5901A4"
52,58,"015_Wc_2",24,29.2376861572266,37.9905662536621,2.27979803085327,155.080947875977,"Main",35.2550125515681,TRUE,"#320597"
53,57,"015_Wc_2",1079,1.12420201301575,38.6194877624512,11.7222528457642,4167.912109375,"Main",36.0092109421119,TRUE,"#9D189E"
54,56,"015_Wc_2",23,25.0029277801514,112.898071289062,4.24989128112793,1601.51892089844,"Main",103.744779282454,TRUE,"#4B03A1"
54,61,"015_Wc_2",1080,3.72071385383606,88.8648223876953,9.77421283721924,6667.8125,"Main",84.6279028211792,TRUE,"#8908A5"
55,72,"015_Wc_2",22,14.7795677185059,135.336624145508,6.05210971832275,3893.30834960938,"Main",120.604618556727,TRUE,"#6101A6"
57,62,"015_Wc_2",1081,1.68671417236328,44.6929206848145,10.2950534820557,3720.36743164062,"Main",42.1947006236838,TRUE,"#8F0CA4"
59,68,"015_Wc_2",1082,2.18894791603088,60.429126739502,10.5083723068237,5240.91455078125,"Main",52.0985522123497,TRUE,"#900EA3"
60,102,"015_Wc_2",1083,44.9691162109375,357.390747070312,5.63825178146362,8923.23046875,"Main",304.601361780572,FALSE,"#5B01A5"
61,79,"015_Wc_2",1084,4.05362462997437,193.910552978516,13.832763671875,29141.322265625,"Main",183.428653843964,TRUE,"#B02991"
62,64,"015_Wc_2",1086,27.8775672912598,75.9811248779297,3.30183529853821,650.588623046875,"Main",69.1631830027919,FALSE,"#40049D"
62,75,"015_Wc_2",1085,3.7292172908783,104.493141174316,10.5868082046509,9198.3037109375,"Main",96.0440104196913,TRUE,"#910EA3"
