"Degrees","Accessibility","node_ID","angle","coordinate_x","coordinate_y"
1,164.678423658013,65,NA,-0.922938607757513,-0.932885906040268
3,102.729403749108,66,106.798370361328,-0.922938607757513,-0.815612857647474
1,135.550008028746,67,NA,-0.922424865142564,-0.910279053338043
3,57.0997467935085,68,92.5637817382812,-0.921911122527614,-0.600847756976334
1,101.163471668959,69,NA,-0.920883637297714,-0.801483574708584
1,111.876986950636,70,NA,-0.917287438993065,-0.756976333451077
1,92.2339580953121,71,NA,-0.917287438993065,-0.678558813140233
3,57.5949696004391,72,83.8844909667969,-0.913691240688415,-0.634758036029672
3,119.130534380674,73,47.89013671875,-0.911636270228615,-0.888378664782762
3,57.6662082374096,74,109.822463989258,-0.910095042383766,-0.571176262804663
3,55.4376129806042,75,81.9727478027344,-0.907526329309016,-0.561285764747439
3,53.9916940629482,76,93.1221313476562,-0.905985101464166,-0.610738255033557
3,58.1567237079144,77,76.6754684448242,-0.904957616234267,-0.579653832567997
1,86.7350713014603,78,NA,-0.903416388389417,-0.410808901448252
3,54.5618598163128,79,90,-0.900333932699717,-0.701165665842459
1,123.830792635679,80,NA,-0.899820190084768,-0.913811374072766
1,89.7010660469532,81,NA,-0.899820190084768,-0.278700105969622
3,53.60762616992,82,90,-0.896737734395068,-0.561992228894384
1,60.1619070470333,83,NA,-0.894682763935268,-0.631932179441893
3,86.1219553649426,84,86.4677124023438,-0.893655278705369,-0.730837160014129
3,80.3937893211842,85,77.0705184936523,-0.893141536090419,-0.311197456729071
3,79.6332404315472,86,99.524658203125,-0.891600308245569,-0.71388202048746
3,51.7784957587719,87,75.2564392089844,-0.891600308245569,-0.682091133874956
1,83.2420645952225,88,NA,-0.889031595170819,-0.361356411162134
1,91.169899135828,89,NA,-0.88646288209607,-0.256093253267397
3,70.1312889754772,90,100.108093261719,-0.88543539686617,-0.748498763687743
1,83.8154527842999,91,NA,-0.88389416902132,-0.717414341222183
3,78.7524763643742,92,90.6296081542969,-0.88338042640637,-0.315436241610738
1,85.2695442736149,93,NA,-0.88235294117647,-0.28929706817379
3,50.0591579377651,94,84.3594512939453,-0.881839198561521,-0.665135994348287
1,100.401828736067,95,NA,-0.879784228101721,-0.825503355704698
3,55.8827376067638,96,79.9607391357422,-0.879270485486771,-0.694101024373013
3,48.5822113454342,97,91.5717468261719,-0.874646801952222,-0.642529141646061
3,66.2745945155621,98,95.1944274902344,-0.874133059337272,-0.748498763687743
1,108.251839846373,99,NA,-0.873105574107372,-0.773931472977746
3,51.8894498050213,100,64.9758071899414,-0.873105574107372,-0.582479689155775
3,76.6279224455357,101,96.3401870727539,-0.873105574107372,-0.326739667961851
3,172.68687364459,102,95.3831329345703,-0.871050603647573,-0.982338396326386
3,76.1806354224682,103,78.0238647460938,-0.868481890572823,-0.808548216178029
3,51.6141032874584,104,80.4532470703125,-0.867968147957873,-0.684916990462734
1,188.283728808165,105,NA,-0.867454405342923,-0.993641822677499
1,70.8074736297131,106,NA,-0.867454405342923,-0.712469092193571
3,47.3571649491787,107,75.9073486328125,-0.866940662727973,-0.628399858707171
3,74.0433138906956,108,94.8645172119141,-0.866426920113023,-0.338749558459908
3,48.2641741931438,109,56.4734802246094,-0.861803236578474,-0.562698693041328
3,74.4708901643753,110,73.1625366210938,-0.860775751348574,-0.350759448957965
3,74.7095128595829,111,104.209693908691,-0.859234523503725,-0.311903920876016
3,73.1692316234112,112,89.7297439575195,-0.858720780888775,-0.806428823737195
3,47.4403468072414,113,100.09105682373,-0.858207038273825,-0.560579300600495
3,88.2436058223248,114,93.8080520629883,-0.857693295658875,-0.8382197103497
3,46.2754560410976,115,92.1552734375,-0.857693295658875,-0.616389968209113
