"Degrees","Accessibility","node_ID"
3,292.18401972577,95
3,269.646669641137,96
3,300.478836279362,97
1,349.961057703942,98
3,363.673310004175,99
1,331.17272426933,100
1,308.425879638642,101
2,312.62092314288,102
1,407.050635591149,103
3,305.76729766652,104
1,300.139677584171,105
1,354.747551184148,106
3,289.843549311161,107
1,310.052786126733,108
3,286.294477716088,109
3,345.812036715448,110
1,298.234742775559,111
3,296.533454194665,112
1,337.968235269189,113
3,310.325263600796,114
3,291.591072302312,115
3,330.950407758355,116
1,339.139746915549,117
3,286.233901184052,118
1,316.959144812077,119
3,290.763265829533,120
3,263.93608738482,121
2,311.226444974542,122
3,303.016092076898,123
3,268.383429780602,124
3,258.454278245568,125
3,286.670193448663,126
3,343.469168387353,127
1,427.548779211938,128
1,307.926936846226,129
3,297.940616916865,130
1,307.546531032771,131
3,277.916008725762,132
3,245.630945704877,133
3,283.030778806657,134
1,317.933434508741,135
3,257.357663407922,136
3,298.763232480735,137
3,302.637411158532,138
1,331.45897905156,139
3,281.83626941964,140
3,277.258016362786,141
1,369.881900563836,142
3,301.717399220914,143
3,285.31807301566,144
3,305.247679293156,145
1,316.080648045987,146
1,335.333316147327,147
1,321.698513567448,148
3,301.177316706628,149
3,332.469095766544,150
1,368.763091340661,151
3,284.610744994134,152
1,295.342166464776,153
3,307.80946213007,154
3,247.945007488132,155
3,337.79601880163,156
1,406.486919462681,157
3,253.701614156365,158
1,320.328747998923,159
3,299.004442017525,160
1,363.18374248594,161
1,304.755669634789,162
3,345.096530161798,163
1,331.617616962641,164
1,473.93465667963,165
3,297.207706969231,166
1,389.327615778893,167
3,285.112421344966,168
1,383.363280497491,169
3,335.128002129495,170
3,262.65706063807,171
1,325.37070254609,172
3,253.093573346734,173
3,281.250039141625,174
3,332.80176474154,175
1,359.260176718235,176
3,229.346253417432,177
3,255.954501882195,178
3,281.343641590327,179
2,326.257460609078,180
3,281.241849195212,181
3,276.010890524834,182
3,251.055962815881,183
3,306.994659677148,184
3,315.609854757786,185
3,388.828325331211,186
3,268.77007009834,187
3,257.235266700387,188
3,249.329544320703,189
3,280.873614381999,190
1,326.59898211062,191
1,283.557166140527,192
3,280.551280807704,193
1,322.343238722533,194
3,280.430607955903,195
1,289.518644165248,196
3,328.171125452965,197
1,409.048380576074,198
1,337.289044421166,199
1,394.272228777409,200
1,368.147171035409,201
3,302.757973924279,202
1,367.427261572331,203
1,307.444273725152,204
3,350.641163550317,205
3,246.470242515206,206
1,333.909654062241,207
3,246.025549903512,208
3,300.46976710856,209
3,332.89767376706,210
1,303.888237968087,211
3,275.828718345612,212
1,304.494391456246,213
3,288.869248908013,214
1,347.470189273357,215
3,304.231300368905,216
3,274.187418382615,217
3,310.30529121682,218
3,328.666588746011,219
3,324.799791395664,220
1,315.324928537011,221
1,376.634879272431,222
3,238.534036420286,223
3,226.967081807554,224
3,243.281205430627,225
3,333.937746088952,226
3,336.846094809473,227
3,236.964634105563,228
1,355.50848845765,229
3,306.465719264001,230
3,336.083152931184,231
2,335.661865573376,232
3,334.959587376565,233
3,391.235562287271,234
3,339.807995758951,235
3,325.980834186077,236
3,336.468231420964,237
1,377.097441714257,238
1,386.19467612356,239
3,296.315025344491,240
3,235.978882476687,241
3,346.434534132481,242
3,291.772079721093,243
1,339.937293987721,244
3,325.823970280588,245
1,341.026706736535,246
1,274.197034135461,247
3,240.927586808801,248
3,324.537898741663,249
1,423.918324671686,250
3,338.903140109032,251
3,270.40480999276,252
1,284.598099064082,253
3,315.29193822667,254
3,224.62988808006,255
2,310.44339601323,256
3,286.957187693566,257
1,308.027715221047,258
3,305.488877695054,259
1,331.429766438901,260
3,283.873489867896,261
1,305.016966115683,262
1,324.762687575072,263
3,326.671480379999,264
3,259.748509660363,265
1,318.652124658227,266
3,301.314345851541,267
3,263.915100615472,268
3,340.358796678483,269
3,288.429181113839,270
1,449.736713539809,271
3,301.54224697873,272
1,274.261835113168,273
1,299.975444834679,274
3,265.335247293115,275
3,448.295170318335,276
1,391.72048477456,277
1,274.014655631036,278
1,287.623223822564,279
3,344.933925192803,280
3,235.14745785296,281
